company_id,type,rule_id,text,confidence_pct
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
APOLLOHOSP,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
APOLLOHOSP,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
ASIANPAINT,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
ASIANPAINT,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ASIANPAINT,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ATGL,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
ATGL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ATGL,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ATGL,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,92
AXISBANK,con,CON_11,High financial leverage may reduce future financial flexibility.,90
AXISBANK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJ-AUTO,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
BAJAJ-AUTO,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring.,92
BAJAJFINSV,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
BAJAJFINSV,con,CON_11,High financial leverage may reduce future financial flexibility.,90
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJFINSV,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
BAJAJHLDNG,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BAJAJHLDNG,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96
BAJAJHLDNG,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
BAJAJHLDNG,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
BAJAJHLDNG,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,92
BAJFINANCE,con,CON_11,High financial leverage may reduce future financial flexibility.,90
BAJFINANCE,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJFINANCE,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJFINANCE,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,92
BANKBARODA,con,CON_11,High financial leverage may reduce future financial flexibility.,90
BANKBARODA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BANKBARODA,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
BANKBARODA,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
BEL,con,CON_FALLBACK,Latest-year free cash flow is negative and should be monitored for cash-generation risk.,70
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BEL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
BEL,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
BEL,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring.,92
BHARTIARTL,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BHARTIARTL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BHEL,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
BHEL,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
BHEL,con,CON_12,Revenue growth below 5% over five years indicates limited business momentum.,84
BHEL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BHEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
BOSCHLTD,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
BOSCHLTD,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
BOSCHLTD,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
BPCL,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BPCL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BPCL,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
BRITANNIA,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BRITANNIA,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
BRITANNIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,92
CANBK,con,CON_11,High financial leverage may reduce future financial flexibility.,90
CANBK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
CANBK,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 6.86 is elevated and warrants monitoring.,92
CHOLAFIN,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
CHOLAFIN,con,CON_11,High financial leverage may reduce future financial flexibility.,90
CHOLAFIN,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
CHOLAFIN,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CHOLAFIN,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
CIPLA,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
COALINDIA,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
DABUR,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
DABUR,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
DIVISLAB,con,CON_03,Operating margins have declined for three consecutive years.,85
DIVISLAB,con,CON_09,Earnings per share have declined for three consecutive years.,86
DIVISLAB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DIVISLAB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DIVISLAB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
DLF,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
DLF,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
DLF,con,CON_12,Revenue growth below 5% over five years indicates limited business momentum.,84
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
DLF,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
DMART,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
DMART,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DMART,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
DMART,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
DRREDDY,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
DRREDDY,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
EICHERMOT,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
EICHERMOT,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
EICHERMOT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
EICHERMOT,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
GAIL,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
GAIL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
GAIL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
GODREJCP,con,CON_04,Company reported a net loss in the latest financial year.,95
GODREJCP,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
GODREJCP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
GRASIM,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
GRASIM,con,CON_09,Earnings per share have declined for three consecutive years.,86
GRASIM,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
GRASIM,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
HAL,con,CON_08,"Debt-to-equity ratio has increased over the last three years, indicating rising financial leverage.",84
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HAL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
HAVELLS,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
HAVELLS,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
HAVELLS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
HCLTECH,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HCLTECH,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
HCLTECH,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
HCLTECH,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
HDFCBANK,con,CON_01,Debt-to-equity ratio of 6.81 is elevated and warrants monitoring.,92
HDFCBANK,con,CON_06,Interest coverage below 1.5x indicates potential debt servicing risk.,94
HDFCBANK,con,CON_11,High financial leverage may reduce future financial flexibility.,90
HDFCBANK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HDFCBANK,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCBANK,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
HDFCLIFE,con,CON_FALLBACK,Latest-year free cash flow is negative and should be monitored for cash-generation risk.,70
HDFCLIFE,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HDFCLIFE,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HDFCLIFE,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
HDFCLIFE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
HEROMOTOCO,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
HEROMOTOCO,con,CON_12,Revenue growth below 5% over five years indicates limited business momentum.,84
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HEROMOTOCO,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
HEROMOTOCO,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
HINDALCO,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
HINDALCO,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
HINDALCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDUNILVR,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
ICICIBANK,con,CON_01,Debt-to-equity ratio of 6.45 is elevated and warrants monitoring.,92
ICICIBANK,con,CON_06,Interest coverage below 1.5x indicates potential debt servicing risk.,94
ICICIBANK,con,CON_11,High financial leverage may reduce future financial flexibility.,90
ICICIBANK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
ICICIBANK,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
ICICIBANK,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
ICICIGI,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ICICIGI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,96
ICICIGI,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
ICICIGI,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
ICICIPRULI,con,CON_10,Return on equity below 10% suggests weak capital efficiency.,82
ICICIPRULI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
ICICIPRULI,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
INDIGO,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
INDIGO,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
INDIGO,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
INDIGO,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
INDIGO,pro,PRO_12,Improving asset efficiency indicates better capital allocation and operational performance.,82
INDUSINDBK,con,CON_01,Debt-to-equity ratio of 6.89 is elevated and warrants monitoring.,92
INDUSINDBK,con,CON_11,High financial leverage may reduce future financial flexibility.,90
INDUSINDBK,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
INDUSINDBK,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
INDUSINDBK,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
INDUSINDBK,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,85
INFY,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
INFY,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
INFY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
INFY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
INFY,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow.,88
INFY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits.,84
IOC,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
IOC,con,CON_12,Revenue growth below 5% over five years indicates limited business momentum.,84
IOC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
IOC,pro,PRO_06,Net profit compounding above 20% over five years creates significant shareholder value.,93
IOC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,90
IOC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,91
IRCTC,con,CON_02,Free cash flow has remained negative for three consecutive years.,90
IRCTC,con,CON_03,Operating margins have declined for three consecutive years.,85
IRCTC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
IRCTC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
IRCTC,pro,PRO_04,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
